Time (s),CPU (%),NetIO (Sent\Received)
0,100.89,16.4MB / 7.14MB
1,113.16,16.4MB / 7.14MB
2,102.59,49.4MB / 96MB
3,105.53,14.3MB / 10.3MB
4,117.3,12.3MB / 13.6MB
5,116.82,12.3MB / 13.6MB
6,104.96,14.3MB / 10.3MB
7,113.22,16.4MB / 7.15MB
8,102.17,49.4MB / 96MB
9,106.32,12.3MB / 13.7MB
10,104.15,14.3MB / 10.3MB
11,104.81,14.3MB / 10.3MB
12,103.61,14.3MB / 10.3MB
13,105.58,16.4MB / 7.16MB
14,104.76,16.4MB / 7.16MB
15,108.51,12.3MB / 13.7MB
16,104.45,16.4MB / 7.16MB
17,105.24,12.3MB / 13.7MB
18,116.93,16.4MB / 7.17MB
19,104.04,12.3MB / 13.7MB
20,105.21,16.4MB / 7.17MB
21,106.26,12.3MB / 13.7MB
22,105.98,16.4MB / 7.18MB
23,102.05,49.5MB / 96.1MB
24,107.94,12.3MB / 13.7MB
25,104.7,16.4MB / 7.18MB
26,105.25,12.3MB / 13.7MB
27,104.9,16.4MB / 7.19MB
28,104.6,12.3MB / 13.7MB
29,99.83,49.5MB / 96.1MB
30,109.43,12.3MB / 13.7MB
31,105.08,14.4MB / 10.3MB
32,104.19,16.4MB / 7.2MB
33,102.91,16.4MB / 7.2MB
34,105.56,16.4MB / 7.2MB
35,107.62,49.5MB / 96.1MB
36,114.07,14.4MB / 10.3MB
37,104.16,12.3MB / 13.7MB
38,104.78,14.4MB / 10.3MB
